index,execution_time,plant,staerke_num,staerke_txt
8,2020-05-02 10:46:20.467402,G\xe4nsefu\xdf,0,keine
9,2020-05-02 10:46:20.467402,Mais,0,keine
10,2020-05-02 10:46:20.467402,Brennessel,0,keine
11,2020-05-02 10:46:20.467402,Hafer,0,keine
12,2020-05-02 10:46:20.467402,Roggen,0,keine
14,2020-05-02 10:46:20.467402,Weizen,0,keine
15,2020-05-02 10:46:20.467402,Spitzwegerich,0,keine
16,2020-05-02 10:46:20.467402,Raps,0,keine
17,2020-05-02 10:46:20.467402,Hopfen,0,keine
18,2020-05-02 10:46:20.467402,Holunder,0,keine
19,2020-05-02 10:46:20.467402,Ulme,0,keine
21,2020-05-02 10:46:20.467402,Pappel,0,keine
22,2020-05-02 10:46:20.467402,Weide,0,keine
23,2020-05-02 10:46:20.467402,Birke,0,keine
24,2020-05-02 10:46:20.467402,Eiche,0,keine
25,2020-05-02 10:46:20.467402,Esche,0,keine
26,2020-05-02 10:46:20.467402,Platane,0,keine
28,2020-05-02 10:46:20.467402,Flieder,0,keine
29,2020-05-02 10:46:20.467402,Ambrosia,0,keine
30,2020-05-02 10:46:20.467402,Buche,0,keine
31,2020-05-02 10:46:20.467402,Rotbuche,0,keine
32,2020-05-02 10:46:20.467402,Ahorn,0,keine
33,2020-05-02 10:46:20.467402,Nessel,0,keine
35,2020-05-02 10:46:20.467402,Kiefer,0,keine
36,2020-05-02 10:46:20.467402,Tanne,0,keine
37,2020-05-02 10:46:20.467402,Fichte,0,keine
