index,plant,staerke_txt,staerke_num,execution_time
9,Mais,schwach,1,2020-05-07 06:52:46.345021
10,Brennessel,schwach,1,2020-05-07 06:52:46.345021
11,Hafer,schwach,1,2020-05-07 06:52:46.345021
12,Roggen,mäßig,2,2020-05-07 06:52:46.345021
14,Weizen,schwach,1,2020-05-07 06:52:46.345021
15,Spitzwegerich,stark,3,2020-05-07 06:52:46.345021
16,Raps,mäßig,2,2020-05-07 06:52:46.345021
17,Hopfen,mäßig,2,2020-05-07 06:52:46.345021
18,Holunder,schwach,1,2020-05-07 06:52:46.345021
19,Ulme,schwach,1,2020-05-07 06:52:46.345021
21,Pappel,schwach,1,2020-05-07 06:52:46.345021
22,Weide,schwach,1,2020-05-07 06:52:46.345021
23,Birke,schwach,1,2020-05-07 06:52:46.345021
24,Eiche,mäßig,2,2020-05-07 06:52:46.345021
25,Esche,schwach,1,2020-05-07 06:52:46.345021
26,Platane,mäßig,2,2020-05-07 06:52:46.345021
28,Flieder,mäßig,2,2020-05-07 06:52:46.345021
29,Ambrosia,keine,0,2020-05-07 06:52:46.345021
30,Buche,stark,3,2020-05-07 06:52:46.345021
31,Rotbuche,stark,3,2020-05-07 06:52:46.345021
32,Ahorn,stark,3,2020-05-07 06:52:46.345021
33,Nessel,keine,0,2020-05-07 06:52:46.345021
35,Kiefer,mäßig,2,2020-05-07 06:52:46.345021
36,Tanne,mäßig,2,2020-05-07 06:52:46.345021
37,Fichte,mäßig,2,2020-05-07 06:52:46.345021
0,Erle,keine,0,2020-05-17 08:58:49.162521
1,Hasel,keine,0,2020-05-17 08:58:49.162521
2,L\xf6wenzahn,stark,3,2020-05-17 08:58:49.162521
3,Gr\xe4ser,stark,3,2020-05-17 08:58:49.162521
4,Gerste,mäßig,2,2020-05-17 08:58:49.162521
5,Linde,schwach,1,2020-05-17 08:58:49.162521
7,Beifu\xdf,mäßig,2,2020-05-17 08:58:49.162521
8,G\xe4nsefu\xdf,schwach,1,2020-05-17 08:58:49.162521
9,Mais,schwach,1,2020-05-17 08:58:49.162521
10,Brennessel,mäßig,2,2020-05-17 08:58:49.162521
11,Hafer,mäßig,2,2020-05-17 08:58:49.162521
12,Roggen,mäßig,2,2020-05-17 08:58:49.162521
14,Weizen,mäßig,2,2020-05-17 08:58:49.162521
